Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
66.732	-0.88327	-0.35747
66.831	-0.87805	-0.35686
66.931	-0.87264	-0.35626
67.03	-0.86775	-0.35565
67.129	-0.86425	-0.35504
67.229	-0.86059	-0.35443
67.328	-0.85656	-0.35382
67.427	-0.85229	-0.35321
67.527	-0.8474	-0.3526
67.626	-0.84253	-0.35199
67.725	-0.83688	-0.35139
67.825	-0.83131	-0.35078
67.924	-0.82613	-0.35017
68.023	-0.82186	-0.34956
68.122	-0.81779	-0.34896
68.222	-0.81341	-0.34835
68.321	-0.80881	-0.34774
68.42	-0.80345	-0.34714
68.52	-0.79882	-0.34653
68.619	-0.79497	-0.34592
68.718	-0.79118	-0.34532
68.818	-0.78806	-0.34471
68.917	-0.78478	-0.3441
69.016	-0.78132	-0.3435
69.115	-0.77746	-0.34289
69.215	-0.7728	-0.34229
69.314	-0.76805	-0.34168
69.413	-0.76263	-0.34108
69.513	-0.75704	-0.34047
69.612	-0.75128	-0.33987
69.711	-0.74518	-0.33926
69.811	-0.73919	-0.33866
69.91	-0.73296	-0.33805
70.009	-0.72743	-0.33745
70.108	-0.72158	-0.33684
70.208	-0.71543	-0.33624
70.307	-0.70871	-0.33564
70.406	-0.70082	-0.33503
70.506	-0.69289	-0.33443
70.605	-0.68579	-0.33383
70.704	-0.67955	-0.33322
70.804	-0.67421	-0.33262
70.903	-0.66926	-0.33202
71.002	-0.66377	-0.33142
71.102	-0.65795	-0.33081
71.201	-0.65157	-0.33021
71.3	-0.64489	-0.32961
71.399	-0.63776	-0.32901
71.499	-0.63107	-0.32841
71.598	-0.62429	-0.3278
71.697	-0.61718	-0.3272
71.797	-0.60934	-0.3266
71.896	-0.60006	-0.326
71.995	-0.59543	-0.3254
72.095	-0.58986	-0.3248
72.194	-0.58463	-0.3242
72.293	-0.57991	-0.3236
72.392	-0.57609	-0.323
72.492	-0.57347	-0.3224
72.591	-0.57075	-0.3218
72.69	-0.56822	-0.3212
72.79	-0.56574	-0.3206
72.889	-0.56373	-0.32
72.988	-0.56255	-0.3194
73.088	-0.56153	-0.3188
73.187	-0.56094	-0.3182
73.286	-0.55998	-0.31761
73.385	-0.55818	-0.31701
73.485	-0.55505	-0.31641
73.584	-0.55134	-0.31581
73.683	-0.54801	-0.31521
73.783	-0.54666	-0.31461
73.882	-0.54844	-0.31402
73.981	-0.55256	-0.31342
74.081	-0.55709	-0.31282
74.18	-0.56105	-0.31223
74.279	-0.56424	-0.31163
74.379	-0.567	-0.31103
74.478	-0.57038	-0.31043
74.577	-0.57433	-0.30984
74.676	-0.57871	-0.30924
74.776	-0.58253	-0.30865
74.875	-0.58613	-0.30805
74.974	-0.58876	-0.30745
75.074	-0.59073	-0.30686
75.173	-0.59254	-0.30626
75.272	-0.59422	-0.30567
75.372	-0.59604	-0.30507
75.471	-0.59827	-0.30448
75.57	-0.60046	-0.30388
75.669	-0.60222	-0.30329
75.769	-0.60407	-0.30269
75.868	-0.60535	-0.3021
75.967	-0.60703	-0.30151
76.067	-0.60942	-0.30091
76.166	-0.61216	-0.30032
76.265	-0.61556	-0.29972
76.365	-0.61917	-0.29913
76.464	-0.62156	-0.29854
76.563	-0.62359	-0.29794
76.662	-0.62551	-0.29735
76.762	-0.62765	-0.29676
76.861	-0.63122	-0.29617
76.96	-0.6368	-0.29557
77.06	-0.64262	-0.29498
77.159	-0.6479	-0.29439
77.258	-0.65287	-0.2938
77.358	-0.6562	-0.29321
77.457	-0.6596	-0.29261
77.556	-0.66315	-0.29202
77.656	-0.66736	-0.29143
77.755	-0.67213	-0.29084
77.854	-0.67688	-0.29025
77.953	-0.68188	-0.28966
78.053	-0.68647	-0.28907
78.152	-0.69067	-0.28848
78.251	-0.69518	-0.28789
78.351	-0.69944	-0.2873
78.45	-0.70308	-0.28671
78.549	-0.70653	-0.28612
78.649	-0.70888	-0.28553
78.748	-0.71033	-0.28494
78.847	-0.71136	-0.28435
78.946	-0.71177	-0.28376
79.046	-0.71222	-0.28317
79.145	-0.71352	-0.28258
79.244	-0.71526	-0.28199
79.344	-0.71667	-0.28141
79.443	-0.71806	-0.28082
79.542	-0.7199	-0.28023
79.642	-0.72255	-0.27964
79.741	-0.72765	-0.27905
79.84	-0.73508	-0.27847
79.939	-0.74413	-0.27788
80.039	-0.75452	-0.27729
80.138	-0.76559	-0.27671
80.237	-0.77764	-0.27612
80.337	-0.79022	-0.27553
80.436	-0.80347	-0.27495
80.535	-0.81763	-0.27436
80.635	-0.83191	-0.27377
80.734	-0.84636	-0.27319
80.833	-0.86109	-0.2726
80.933	-0.87559	-0.27201
81.032	-0.88924	-0.27143
81.131	-0.89279	-0.27084
81.23	-0.89534	-0.27026
81.33	-0.8975	-0.26967
81.429	-0.90031	-0.26909
81.528	-0.90362	-0.2685
81.628	-0.90693	-0.26792
81.727	-0.90951	-0.26734
81.826	-0.91107	-0.26675
81.926	-0.91147	-0.26617
82.025	-0.91063	-0.26558
82.124	-0.90936	-0.265
82.223	-0.90753	-0.26442
82.323	-0.90492	-0.26383
82.422	-0.90151	-0.26325
82.521	-0.89682	-0.26267
82.621	-0.89077	-0.26208
82.72	-0.88425	-0.2615
82.819	-0.87799	-0.26092
82.919	-0.87079	-0.26034
83.018	-0.86396	-0.25975
83.117	-0.85652	-0.25917
83.216	-0.84779	-0.25859
83.316	-0.83942	-0.25801
83.415	-0.82929	-0.25743
83.514	-0.81956	-0.25685
83.614	-0.81082	-0.25626
83.713	-0.80281	-0.25568
83.812	-0.79713	-0.2551
83.912	-0.79204	-0.25452
84.011	-0.7883	-0.25394
84.11	-0.78603	-0.25336
84.21	-0.78503	-0.25278
84.309	-0.78499	-0.2522
84.408	-0.78532	-0.25162
84.507	-0.78607	-0.25104
84.607	-0.78652	-0.25046
84.706	-0.78743	-0.24988
84.805	-0.78825	-0.2493
84.905	-0.78891	-0.24872
85.004	-0.78941	-0.24815
85.103	-0.79019	-0.24757
85.203	-0.79086	-0.24699
85.302	-0.79118	-0.24641
85.401	-0.79123	-0.24583
85.5	-0.79045	-0.24525
85.6	-0.7893	-0.24468
